loss,cer
0.00036765257821026585,1.1063466947527985
0.00029105428667068015,0.9133660376428245
0.0002525131414579449,0.8151695321946951
0.00014089691227698768,0.7180450533401569
0.00013522460362001582,0.6797311827023121
0.0001301162218851659,0.6487691195193049
0.00010422473521190545,0.6075012744217432
0.0001016985809196713,0.5872484844650667
9.93292456499023e-05,0.5696151235486752
8.240909258258634e-05,0.5435384445245429
8.16712752114946e-05,0.5300751893914329
8.074913707271804e-05,0.5182098633151452
6.845208685051265e-05,0.49978441971188686
6.868611684194743e-05,0.49008604506231884
6.80448320148241e-05,0.4811247874784469
